ramp_merge	pie_merge	phi	delta	v_min	time_gap	fitness
0.48	0.99	3.24	0.12	4.2	1.48	344.551
0.13	0.89	2.55	0.31	5.67	1.2	85.953
0.61	0.89	3.36	0.41	4.25	1.47	412.315
0.59	0.9	3.57	0.03	5.52	1.22	101.071
0.35	0.86	2.46	0.48	4.93	1.2	82.806
0.13	0.88	2.94	0.26	3.6	1.39	85.364
0.26	0.87	3.05	0.26	4.22	1.24	84.102
0.62	0.97	1.81	0.55	5.02	1.46	265.768
0.47	0.97	3.36	0.46	5.61	1.31	161.878
0.52	0.89	3.07	0.17	4.78	1.49	372.585
0.52	0.86	2.55	0.51	3.34	1.22	83.502
0.18	0.9	3.26	0.47	4.86	1.22	84.558
0.6	0.98	2.88	0.17	3.32	1.47	414.575
0.6	0.85	3.59	0.21	4.29	1.44	368.423
0.12	0.93	2.14	0.48	3.8	1.28	85.435
0.48	0.91	1.85	0.06	5.27	1.48	344.814
0.58	0.86	2.4	0.04	3.53	1.34	143.726
0.14	0.89	3.53	0.4	3.99	1.41	136.92
0.54	0.94	1.81	0.43	5.07	1.46	373.418
0.35	0.95	2.6	0.26	4.31	1.32	162.915
0.57	0.94	3.47	0.49	5.16	1.46	412.42
0.48	0.95	2.08	0.06	3.47	1.24	86.526
0.35	0.95	2.09	0.51	5.48	1.33	151.593
0.31	0.88	3.16	0.4	5.41	1.21	83.479
0.3	0.91	3.54	0.06	5.89	1.41	296.113
0.52	0.91	2.74	0.16	4.5	1.44	359.112
0.48	0.87	2.08	0.25	5.26	1.49	396.71
0.17	0.99	2.54	0.41	4.56	1.49	276.174
0.54	0.89	3.07	0.29	3.47	1.42	318.869
0.58	0.85	2.1	0.23	4.97	1.43	370.473
0.39	0.86	2.19	0.13	4.61	1.45	304.386
0.46	0.89	3.55	0.26	5.2	1.25	163.184
0.37	0.92	2.83	0.57	5.21	1.45	275.461
0.27	0.95	2.06	0.41	3.54	1.44	358.852
0.39	0.9	1.83	0.14	3.88	1.2	125.659
0.48	0.91	2.65	0.38	4.87	1.49	301.907
0.35	0.89	1.89	0.36	4.73	1.4	258.894
0.29	0.94	3.45	0.35	4.57	1.4	296.204
0.36	0.88	2.52	0.56	3.96	1.49	489.916
0.16	0.99	3.14	0.05	3.02	1.47	251.846
0.53	0.88	3.19	0.41	5.93	1.3	104.177
0.64	0.99	2.71	0.17	4.02	1.24	83.732
0.49	0.99	2.08	0.17	3.31	1.47	370.424
0.6	0.98	3.08	0.29	5.51	1.4	235.388
0.34	0.91	1.83	0.34	3.5	1.39	226.703
